Bases,Biopython
1,2.731199992922484e-05
109,0.00027824700009659864
218,0.0009876179999537271
327,0.0020852239999840094
436,0.003886351000119248
545,0.00621056599993608
654,0.008671099999901344
763,0.00616911799988884
872,0.006400315000064438
981,0.00968591900004867
1090,0.011381435999965106
1199,0.013392399999929694
1308,0.015442656999994142
1417,0.017589347000011912
1526,0.02399032400012402
1635,0.027195635999987644
1744,0.031190992999881928
1853,0.03534557099987978
1962,0.037421506999862686
2071,0.040926717000047574
2180,0.04531541699998343
2289,0.05052110400015408
2398,0.05447363899997981
2507,0.06057174199986548
2616,0.06821373600018887
2725,0.08421170399992661
